,frac_enfu_fuel_demand_total,frac_enfu_minimum_fuel_total,frac_enfu_transmission_loss_total,frac_trns_mtkm_dem_total,frac_trns_pkm_dem_private_and_public_total,frac_trns_pkm_dem_regional_total
0,1.0,0.0,0.165140042,1.0,1.000000001,0.999999988
1,1.0,0.0,0.165140042,1.0,1.000000001,1.000000001
2,1.0,0.02,0.165140042,0.9999999999999999,1.0,1.0
3,1.0,0.04,0.165140042,1.0,1.0,1.000000001
4,1.0,0.06,0.165140042,1.0000000009999999,1.0,1.000000001
5,1.0,0.08,0.165140042,1.0,0.9999999999999999,1.0
6,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
7,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
8,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
9,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
10,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
11,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
12,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
13,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
14,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
15,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
16,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
17,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
18,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
19,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
20,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
21,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
22,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
23,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
24,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
25,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
26,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
27,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
28,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
29,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
30,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
31,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
32,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
33,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
34,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
35,1.0,0.1,0.165140042,1.0,0.999999976,0.999999994
